ID,sex,age,occupations
1624,1,26,1
1625,1,78,12
1626,1,45,14
1627,0,32,1
1628,1,36,20
1629,0,64,0
1630,1,8,-1
1631,1,12,-1
1632,1,49,0
1633,1,15,-1
1634,1,9,-1
1635,0,51,2
1636,1,40,16
1637,0,18,-1
1638,0,102,21
1639,1,23,7
1640,1,42,16
1641,0,39,14
1642,0,27,19
1643,0,45,12
1644,0,37,12
1645,1,36,19
1646,1,67,12
1647,1,46,20
1648,0,19,2
1649,1,16,-1
1650,1,28,16
1651,0,19,2
1652,1,38,14
1653,0,12,-1
1654,0,50,0
1655,0,55,15
1656,1,47,0
1657,1,35,14
1658,0,39,12
1659,0,23,2
1660,0,26,20
1661,0,54,14
1662,1,8,-1
1663,1,7,-1
1664,0,35,1
1665,1,13,-1
1666,0,41,14
1667,1,26,14
1668,1,38,2
1669,1,39,20
1670,0,39,1
1671,0,21,14
1672,1,52,1
1673,1,26,21
1674,1,6,-1
1675,0,12,-1
1676,1,42,1
1677,0,43,20
1678,1,33,14
1679,0,20,0
1680,1,34,1
1681,0,66,20
1682,1,18,-1
1683,0,18,-1
1684,0,2,-1
1685,0,23,12
1686,0,32,0
1687,1,49,1
1688,1,64,7
1689,0,36,12
1690,0,21,21
1691,1,14,-1
1692,1,30,21
1693,1,3,-1
1694,0,5,-1
1695,1,41,18
1696,0,26,18
1697,0,42,1
1698,1,22,19
1699,0,46,1
1700,1,27,20
1701,0,43,19
1702,1,13,-1
1703,0,24,14
1704,0,59,20
1705,1,14,-1
1706,0,24,1
1707,0,41,1
1708,0,20,20
1709,0,35,14
1710,0,39,14
1711,0,51,14
1712,1,43,9
1713,1,39,20
1714,0,58,0
1715,1,19,12
1716,0,27,21
1717,0,40,12
1718,1,11,-1
1719,0,8,-1
1720,0,53,20
1721,1,38,20
1722,0,17,-1
1723,0,51,20
1724,1,38,14
1725,1,3,-1
1726,1,49,19
1727,0,39,20
1728,0,22,14
1729,1,59,0
1730,1,57,14
1731,0,79,20
1732,0,76,15
1733,0,25,12
1734,1,79,21
1735,0,58,12
1736,1,18,-1
1737,0,62,2
1738,0,54,18
1739,1,23,20
1740,0,22,3
1741,0,37,1
1742,0,40,0
1743,1,19,14
1744,0,49,19
1745,1,88,0
1746,0,19,16
1747,1,8,-1
1748,0,42,14
1749,0,23,0
1750,0,26,9
1751,1,37,2
1752,0,15,-1
1753,0,8,-1
1754,0,3,-1
1755,1,6,-1
1756,0,25,3
1757,0,23,12
1758,0,51,0
1759,0,19,14
1760,0,39,1
1761,1,37,13
1762,1,33,10
1763,1,51,14
1764,0,19,14
1765,0,45,21
1766,1,8,-1
1767,0,35,2
1768,1,83,7
1769,0,8,-1
1770,1,20,1
1771,1,10,-1
1772,1,13,-1
1773,1,72,21
1774,1,17,-1
1775,0,8,-1
1776,0,24,12
1777,1,29,14
1778,1,40,20
1779,0,38,2
1780,0,28,14
1781,1,3,-1
1782,1,74,2
1783,1,45,0
1784,0,54,7
1785,0,82,12
1786,1,59,1
1787,0,73,20
1788,1,15,-1
1789,1,19,9
1790,0,57,19
1791,1,2,-1
1792,1,18,-1
1793,0,62,17
1794,1,15,-1
1795,0,6,-1
1796,1,31,8
1797,0,26,14
1798,1,2,-1
1799,0,44,12
1800,1,39,21
1801,1,15,-1
1802,1,14,-1
1803,0,60,16
1804,0,39,15
1805,0,44,14
1806,1,29,1
1807,0,29,14
1808,1,16,-1
1809,0,29,12
1810,0,33,12
1811,0,9,-1
1812,1,34,1
1813,1,36,15
1814,0,18,-1
1815,0,27,14
1816,1,41,14
1817,0,61,15
1818,0,38,2
1819,0,44,21
1820,1,51,12
1821,1,50,12
1822,0,66,12
1823,1,9,-1
1824,0,2,-1
1825,0,23,1
1826,0,45,14
1827,1,58,15
1828,0,40,2
1829,0,39,21
1830,1,21,12
1831,0,49,0
1832,1,42,18
1833,0,14,-1
1834,1,54,12
1835,1,24,8
1836,0,2,-1
1837,1,38,1
1838,1,7,-1
1839,1,13,-1
1840,1,46,20
1841,1,59,14
1842,1,29,2
1843,1,43,12
1844,1,17,-1
1845,0,40,16
1846,1,10,-1
1847,0,14,-1
1848,0,38,15
1849,0,44,12
1850,1,7,-1
1851,0,39,15
1852,1,1,-1
1853,1,61,2
1854,1,37,9
1855,0,7,-1
1856,0,56,12
1857,1,45,14
1858,0,43,1
1859,1,48,19
1860,0,35,9
1861,1,37,0
1862,0,9,-1
1863,0,3,-1
1864,0,29,20
1865,1,17,-1
1866,1,37,21
1867,1,55,0
1868,0,8,-1
1869,1,10,-1
1870,0,37,12
1871,0,37,1
1872,1,63,12
1873,1,66,18
1874,0,37,2
1875,1,9,-1
1876,1,5,-1
1877,0,40,20
1878,1,7,-1
1879,1,49,19
1880,1,39,14
1881,0,70,1
1882,0,61,18
1883,0,62,20
1884,0,23,0
1885,1,67,5
1886,0,10,-1
1887,1,10,-1
1888,1,37,0
1889,1,39,2
1890,0,33,2
1891,1,49,2
1892,0,75,21
1893,1,41,7
1894,1,65,12
1895,1,25,20
1896,1,37,0
1897,0,87,13
1898,1,58,1
1899,0,53,14
1900,1,25,14
1901,0,17,-1
1902,0,6,-1
1903,0,40,12
1904,0,27,12
1905,1,49,1
1906,1,63,18
1907,0,29,19
1908,1,8,-1
1909,1,39,18
1910,1,40,14
1911,0,56,9
1912,1,22,12
1913,0,22,1
1914,1,48,9
1915,0,30,1
1916,0,29,20
1917,0,8,-1
1918,1,40,20
1919,1,21,0
1920,0,39,12
1921,0,40,2
1922,0,53,7
1923,0,49,2
1924,1,82,14
1925,0,19,1
1926,1,40,16
1927,0,72,18
1928,1,61,15
1929,0,18,-1
1930,1,17,-1
1931,0,65,1
1932,1,45,14
1933,1,81,20
1934,0,18,-1
1935,1,55,15
1936,0,26,17
1937,0,17,-1
1938,0,61,9
1939,0,6,-1
1940,0,4,-1
1941,0,19,1
1942,0,4,-1
1943,0,67,2
1944,0,23,9
1945,0,59,15
1946,0,53,0
1947,1,19,1
1948,0,75,2
1949,0,89,2
1950,0,59,20
1951,1,31,2
1952,0,66,18
1953,0,63,14
1954,1,42,19
1955,1,27,12
1956,0,51,14
1957,0,50,7
1958,0,52,21
1959,0,5,-1
1960,1,72,12
1961,1,3,-1
1962,1,38,12
1963,1,55,20
1964,0,76,14
1965,0,14,-1
1966,0,13,-1
1967,1,26,14
1968,1,52,21
1969,1,45,16
1970,1,49,17
1971,1,2,-1
1972,1,17,-1
1973,0,19,18
1974,0,40,18
1975,0,14,-1
1976,0,42,11
1977,0,67,0
1978,0,12,-1
1979,1,43,2
1980,0,17,-1
1981,1,78,16
1982,0,6,-1
1983,1,40,20
1984,0,81,15
1985,0,20,2
1986,0,47,14
1987,1,72,0
1988,0,76,12
1989,1,32,18
1990,0,44,14
1991,0,48,2
1992,1,5,-1
1993,0,28,20
1994,1,9,-1
1995,1,21,21
1996,0,73,1
1997,1,44,14
1998,0,33,15
1999,1,42,12
2000,0,40,14
2001,1,44,21
2002,1,27,2
2003,1,125,15
2004,1,63,12
2005,0,14,-1
2006,0,29,2
2007,1,2,-1
2008,1,8,-1
2009,1,25,2
2010,0,11,-1
2011,1,61,12
2012,0,55,21
2013,0,44,1
2014,0,51,16
2015,0,46,15
2016,0,38,14
2017,1,33,2
2018,0,7,-1
2019,0,11,-1
2020,1,38,12
2021,0,26,9
2022,1,49,16
2023,0,48,1
2024,0,38,20
2025,0,42,0
2026,1,82,2
2027,0,111,14
2028,0,12,-1
2029,0,18,-1
2030,1,45,12
2031,0,70,1
2032,1,64,2
2033,1,64,14
2034,0,37,14
2035,1,56,18
2036,1,28,12
2037,0,32,12
2038,0,30,12
2039,1,86,14
2040,1,90,2
2041,1,5,-1
2042,1,55,0
2043,1,6,-1
2044,0,20,14
2045,1,15,-1
2046,0,52,15
2047,0,12,-1
2048,0,22,12
2049,1,77,21
2050,0,21,7
2051,1,33,21
2052,1,12,-1
2053,0,72,4
2054,1,44,16
2055,0,21,2
2056,0,48,20
2057,1,18,-1
2058,0,53,18
2059,1,42,14
2060,0,39,0
2061,0,1,-1
2062,0,20,2
2063,0,64,10
2064,0,88,15
2065,0,35,20
2066,1,33,14
2067,1,17,-1
2068,0,7,-1
2069,1,14,-1
2070,1,55,14
2071,1,62,14
2072,0,30,12
2073,0,20,2
2074,1,12,-1
2075,1,44,1
2076,0,34,0
2077,0,24,1
2078,0,8,-1
2079,0,27,1
2080,0,16,-1
2081,1,52,7
2082,0,32,5
2083,1,59,0
2084,0,73,12
2085,1,25,20
2086,1,65,14
2087,0,66,16
2088,1,14,-1
2089,1,80,13
2090,1,42,2
2091,1,52,1
2092,0,23,14
2093,0,59,12
2094,0,72,8
2095,0,114,15
2096,0,29,14
2097,1,50,12
2098,0,47,15
2099,0,21,14
2100,1,80,12
2101,0,45,14
2102,0,55,14
2103,0,16,-1
2104,0,48,21
2105,0,3,-1
2106,0,4,-1
2107,1,60,1
2108,1,56,1
2109,0,98,14
2110,1,17,-1
2111,0,10,-1
2112,0,2,-1
2113,1,48,2
2114,0,10,-1
2115,0,4,-1
2116,0,15,-1
2117,0,14,-1
2118,1,11,-1
2119,0,38,2
2120,1,32,0
2121,0,15,-1
2122,1,9,-1
2123,0,52,21
2124,1,63,19
2125,1,32,18
2126,1,26,1
2127,1,27,12
2128,1,70,2
2129,0,65,18
2130,0,37,7
2131,1,8,-1
2132,1,19,2
2133,0,22,14
2134,0,49,12
2135,0,35,21
2136,1,48,14
2137,1,61,15
2138,0,25,0
2139,0,34,2
2140,0,13,-1
2141,0,32,12
2142,1,19,0
2143,1,63,1
2144,1,37,19
2145,1,11,-1
2146,1,10,-1
2147,1,50,20
2148,0,22,7
2149,1,29,14
2150,1,48,0
2151,1,61,7
2152,0,33,0
2153,1,16,-1
2154,1,51,21
2155,0,45,2
2156,0,51,2
2157,1,69,0
2158,1,13,-1
2159,1,3,-1
2160,1,38,2
2161,0,80,19
2162,1,35,2
2163,1,28,12
2164,1,23,18
2165,0,74,13
2166,1,30,12
2167,0,13,-1
2168,1,27,12
2169,1,29,2
2170,0,16,-1
2171,0,59,0
2172,1,45,19
2173,0,39,16
2174,1,68,18
2175,0,46,20
2176,1,43,12
2177,0,28,21
2178,0,40,16
2179,1,42,5
2180,1,22,0
2181,0,38,1
2182,1,62,14
2183,1,9,-1
2184,0,48,0
2185,1,29,12
2186,0,10,-1
2187,0,17,-1
2188,0,20,21
2189,0,8,-1
2190,1,77,19
2191,0,47,12
2192,1,73,14
2193,1,36,14
2194,0,15,-1
2195,0,5,-1
2196,1,19,12
2197,0,3,-1
2198,0,8,-1
2199,0,26,14
2200,1,29,12
2201,0,67,14
2202,1,29,3
2203,1,10,-1
2204,0,59,21
2205,1,49,2
2206,1,4,-1
2207,1,16,-1
2208,0,40,14
2209,0,35,2
2210,1,4,-1
2211,1,17,-1
2212,1,13,-1
2213,0,1,-1
2214,1,57,14
2215,1,79,7
2216,1,26,14
2217,1,8,-1
2218,1,32,19
2219,0,33,18
2220,0,50,14
2221,0,61,14
2222,1,48,1
2223,0,51,1
2224,1,50,14
2225,0,26,14
2226,0,38,20
2227,1,110,14
2228,1,35,12
2229,0,5,-1
2230,0,34,14
2231,1,38,14
2232,0,95,1
2233,0,57,12
2234,0,44,2
2235,1,43,19
2236,0,64,21
2237,0,74,12
2238,1,37,9
2239,1,73,1
2240,0,41,21
2241,0,20,14
2242,1,22,21
2243,0,15,-1
2244,0,35,21
2245,1,28,16
2246,0,41,21
2247,0,20,20
2248,0,53,18
2249,0,41,1
2250,0,50,12
2251,0,36,12
2252,0,54,2
2253,0,43,5
2254,1,17,-1
2255,1,44,14
2256,0,14,-1
2257,1,25,15
2258,1,26,15
2259,1,45,12
2260,1,23,20
2261,1,16,-1
2262,1,52,20
2263,1,31,18
2264,1,22,14
2265,0,0,-1
2266,0,53,15
2267,0,65,14
2268,0,52,12
2269,0,28,12
2270,1,33,15
2271,1,77,14
2272,1,17,-1
2273,0,31,15
2274,0,53,2
2275,1,32,2
2276,1,35,21
2277,0,43,12
2278,0,28,1
2279,0,7,-1
2280,1,78,9
2281,0,25,12
2282,1,28,19
2283,1,12,-1
2284,0,77,21
2285,1,61,12
2286,0,53,0
2287,0,13,-1
2288,1,33,14
2289,0,40,21
2290,0,78,1
2291,1,7,-1
2292,0,47,20
2293,0,2,-1
2294,1,2,-1
2295,0,45,16
2296,0,68,1
2297,1,12,-1
2298,0,9,-1
2299,1,33,0
2300,0,11,-1
2301,1,76,12
2302,0,19,12
2303,0,13,-1
2304,1,28,14
2305,0,45,1
2306,1,63,15
2307,0,57,14
2308,1,40,21
2309,1,40,21
2310,0,22,12
2311,1,27,20
2312,0,47,12
2313,0,11,-1
2314,1,56,21
2315,0,26,2
2316,1,19,12
2317,1,48,1
2318,0,34,1
2319,1,66,2
2320,0,2,-1
2321,0,18,-1
2322,0,35,15
2323,0,45,1
2324,1,7,-1
2325,0,43,16
2326,1,9,-1
2327,0,51,12
2328,1,40,0
2329,1,50,13
2330,1,31,1
2331,0,74,20
2332,1,24,14
2333,1,38,2
2334,1,21,4
2335,0,87,14
2336,0,32,20
2337,1,78,15
2338,0,51,14
2339,1,48,12
2340,0,8,-1
2341,1,48,2
2342,1,15,-1
2343,1,3,-1
2344,1,33,12
2345,1,52,3
2346,0,19,2
2347,0,62,16
2348,1,29,19
2349,0,36,21
2350,0,36,21
2351,1,37,14
2352,0,1,-1
2353,0,14,-1
2354,1,12,-1
2355,1,17,-1
2356,0,60,1
2357,1,4,-1
2358,1,38,14
2359,0,51,12
2360,0,14,-1
2361,0,82,1
2362,1,60,14
2363,0,25,1
2364,0,11,-1
2365,1,18,-1
2366,1,3,-1
2367,1,27,14
2368,1,83,14
2369,0,35,1
2370,0,1,-1
2371,1,73,21
2372,1,32,18
2373,1,44,0
2374,0,33,11
2375,0,40,1
2376,1,50,21
2377,0,53,21
2378,0,40,12
2379,1,37,1
2380,0,2,-1
2381,0,25,1
2382,1,57,2
2383,1,86,19
2384,1,67,20
2385,1,39,17
2386,0,47,2
2387,1,50,6
2388,1,6,-1
2389,0,7,-1
2390,1,2,-1
2391,1,47,2
2392,1,17,-1
2393,1,6,-1
2394,1,31,0
2395,1,21,8
2396,1,9,-1
2397,0,42,14
2398,0,60,21
2399,0,40,14
2400,0,33,12
2401,0,39,12
2402,1,36,18
2403,0,26,0
2404,1,20,21
2405,1,41,0
2406,1,69,2
2407,0,58,18
2408,1,15,-1
2409,0,34,2
2410,1,36,1
2411,1,21,14
2412,0,53,12
2413,1,39,2
2414,0,11,-1
2415,0,26,21
2416,1,60,14
2417,0,20,1
2418,0,50,2
2419,0,13,-1
2420,0,7,-1
2421,0,19,12
2422,1,87,15
2423,0,65,15
2424,1,32,2
2425,0,45,16
2426,1,7,-1
2427,1,26,13
2428,0,10,-1
2429,0,77,8
2430,1,13,-1
2431,1,79,0
2432,0,24,0
2433,0,0,-1
2434,1,38,2
2435,0,21,12
2436,0,20,14
2437,1,42,14
2438,1,43,2
2439,1,43,2
2440,1,6,-1
2441,1,33,20
2442,0,91,12
2443,1,31,20
2444,0,40,14
2445,0,59,14
2446,1,19,18
2447,0,32,14
2448,1,19,12
2449,0,39,1
2450,0,79,15
2451,0,14,-1
2452,0,39,20
2453,1,30,2
2454,1,30,12
2455,0,38,0
2456,0,44,14
2457,1,69,9
2458,0,23,12
2459,0,24,2
2460,1,40,2
2461,0,82,2
2462,0,12,-1
2463,0,40,18
2464,1,57,1
2465,1,2,-1
2466,1,59,14
2467,0,36,0
2468,1,75,16
2469,0,18,-1
2470,1,66,14
2471,1,23,9
2472,0,44,18
2473,0,32,2
2474,1,60,12
2475,1,27,21
2476,1,44,21
2477,0,29,0
2478,0,62,2
2479,1,16,-1
2480,1,83,12
2481,0,17,-1
2482,1,9,-1
2483,1,67,2
2484,0,11,-1
2485,1,72,1
2486,0,17,-1
2487,1,26,21
2488,1,43,12
2489,0,40,21
2490,1,39,12
2491,0,90,20
2492,0,38,1
2493,1,42,1
2494,0,0,-1
2495,1,58,1
2496,0,55,21
2497,1,23,2
2498,1,27,2
2499,0,74,2
2500,0,25,14
2501,0,79,14
2502,1,26,12
2503,1,40,19
2504,0,9,-1
2505,1,51,1
2506,1,81,18
2507,1,33,9
2508,0,3,-1
2509,1,23,20
2510,1,6,-1
2511,0,18,-1
2512,0,22,1
2513,0,42,2
2514,0,81,15
2515,1,50,15
2516,1,33,14
2517,0,31,21
2518,0,24,15
2519,1,49,14
2520,0,51,2
2521,0,23,16
2522,1,37,0
2523,0,49,20
2524,0,48,1
2525,1,53,1
2526,0,57,20
2527,1,75,0
2528,0,52,14
2529,1,45,14
2530,1,34,14
2531,0,21,0
2532,0,33,12
2533,1,8,-1
2534,0,6,-1
2535,0,10,-1
2536,0,24,12
2537,1,68,21
2538,0,20,7
2539,0,82,1
2540,1,49,9
2541,0,21,21
2542,0,58,2
2543,0,8,-1
2544,1,7,-1
2545,0,3,-1
2546,0,27,14
2547,0,47,18
2548,1,29,18
2549,0,21,9
2550,0,31,14
2551,0,11,-1
2552,0,21,0
2553,0,38,14
2554,0,79,0
2555,1,70,2
2556,1,12,-1
2557,0,46,12
2558,1,61,16
2559,0,12,-1
2560,1,47,6
2561,1,67,14
2562,1,58,12
2563,1,40,2
2564,0,20,21
2565,0,27,19
2566,1,97,12
2567,1,38,14
2568,1,13,-1
2569,1,63,20
2570,1,47,21
2571,1,23,14
2572,0,38,12
2573,0,57,1
2574,1,35,1
2575,0,12,-1
2576,0,50,18
2577,1,61,19
2578,0,56,9
2579,0,26,14
2580,1,32,0
2581,0,32,14
2582,1,49,12
2583,0,36,21
2584,0,8,-1
2585,1,66,15
2586,1,5,-1
2587,0,19,14
2588,1,9,-1
2589,1,31,19
2590,1,18,-1
2591,1,13,-1
2592,1,21,2
2593,0,48,12
2594,1,33,14
2595,0,59,14
2596,0,41,12
2597,0,16,-1
2598,1,68,2
2599,1,52,18
2600,1,59,16
2601,0,25,15
2602,1,26,18
2603,0,8,-1
2604,0,23,20
2605,1,2,-1
2606,1,46,18
2607,1,33,18
2608,0,7,-1
2609,1,9,-1
2610,1,22,2
2611,1,29,21
2612,1,11,-1
2613,1,60,2
2614,0,79,10
2615,0,21,9
2616,1,28,1
2617,1,47,16
2618,0,32,2
2619,1,0,-1
2620,1,4,-1
2621,1,31,18
2622,1,38,2
2623,0,50,2
2624,1,78,16
2625,0,45,18
2626,1,76,21
2627,1,77,18
2628,0,62,12
2629,1,44,21
2630,0,28,14
2631,0,13,-1
2632,1,26,21
2633,0,35,9
2634,1,49,20
2635,1,3,-1
2636,1,9,-1
2637,1,29,18
2638,0,40,20
2639,0,14,-1
2640,0,22,2
2641,0,12,-1
2642,0,12,-1
2643,1,28,15
2644,0,49,14
2645,1,16,-1
2646,0,12,-1
2647,0,46,14
2648,1,32,0
2649,1,64,21
2650,0,20,16
2651,1,19,18
2652,1,38,12
2653,1,23,19
2654,1,28,12
2655,0,14,-1
2656,0,6,-1
2657,1,6,-1
2658,0,61,21
2659,1,56,20
2660,0,43,1
2661,0,60,2
2662,1,71,12
2663,1,31,0
2664,0,43,13
2665,1,9,-1
2666,1,19,12
2667,1,42,0
2668,0,42,21
2669,1,35,12
2670,1,27,21
2671,1,37,7
2672,1,96,12
2673,1,54,18
2674,0,27,1
2675,1,44,7
2676,0,40,0
2677,1,8,-1
2678,0,22,14
2679,1,46,2
2680,1,44,2
2681,0,63,2
2682,0,58,0
2683,0,72,1
2684,0,41,15
2685,0,15,-1
2686,1,21,12
2687,1,56,15
2688,0,13,-1
2689,1,54,2
2690,1,58,15
2691,1,54,0
2692,0,70,21
2693,0,56,0
2694,1,12,-1
2695,1,16,-1
2696,0,27,20
2697,1,39,12
2698,0,55,10
2699,0,57,2
2700,1,78,16
2701,1,32,14
2702,0,6,-1
2703,0,50,21
2704,1,14,-1
2705,1,42,1
2706,1,85,15
2707,0,17,-1
2708,1,17,-1
2709,1,14,-1
2710,0,25,0
2711,0,74,14
2712,0,59,7
2713,0,82,2
2714,0,25,0
2715,1,51,14
2716,1,38,20
2717,0,28,14
2718,0,79,2
2719,0,57,1
2720,1,5,-1
2721,0,31,20
2722,0,8,-1
2723,1,19,12
2724,1,10,-1
2725,1,60,13
2726,0,55,16
2727,1,1,-1
2728,1,16,-1
2729,1,38,13
2730,0,26,18
2731,0,27,14
2732,0,34,14
2733,0,13,-1
2734,1,70,20
2735,0,8,-1
2736,0,15,-1
2737,1,39,14
2738,0,9,-1
2739,0,20,14
2740,1,53,2
2741,1,62,20
2742,0,19,6
2743,0,7,-1
2744,1,56,14
2745,0,37,14
2746,1,45,14
2747,1,49,16
2748,0,47,15
2749,0,47,14
2750,0,49,21
2751,1,60,1
2752,0,12,-1
2753,1,62,21
2754,0,9,-1
2755,1,35,14
2756,0,24,18
2757,0,18,-1
2758,1,3,-1
2759,1,64,21
2760,1,26,15
2761,0,0,-1
2762,0,33,21
2763,1,30,0
2764,0,44,7
2765,0,25,14
2766,0,52,14
2767,1,39,20
2768,0,20,18
2769,0,8,-1
2770,0,5,-1
2771,1,36,1
2772,1,6,-1
2773,0,4,-1
2774,0,39,12
2775,1,4,-1
2776,1,64,12
2777,1,54,21
2778,1,27,1
2779,1,5,-1
2780,1,27,12
2781,1,36,16
2782,0,104,2
2783,1,49,20
2784,1,31,1
2785,0,13,-1
2786,0,14,-1
2787,1,21,18
2788,0,18,-1
2789,0,28,0
2790,0,11,-1
2791,0,14,-1
2792,1,44,9
2793,1,48,21
2794,1,53,15
2795,0,67,10
2796,0,32,11
2797,1,36,12
2798,1,40,0
2799,1,21,19
2800,0,29,13
2801,0,29,14
2802,0,49,15
2803,0,31,12
2804,0,63,16
2805,1,73,21
2806,1,23,14
2807,0,68,21
2808,0,2,-1
2809,1,22,21
2810,1,9,-1
2811,0,29,14
2812,1,18,-1
2813,1,52,21
2814,1,32,10
2815,0,49,1
2816,1,1,-1
2817,1,68,9
2818,1,24,2
2819,1,55,9
2820,1,40,12
2821,1,27,21
2822,1,26,21
2823,1,21,12
2824,0,39,0
2825,1,3,-1
2826,0,83,12
2827,1,55,9
2828,1,46,0
2829,1,13,-1
2830,1,5,-1
2831,0,71,8
2832,0,43,1
2833,1,3,-1
2834,0,53,20
2835,1,63,15
2836,0,1,-1
2837,0,47,21
2838,0,48,12
2839,1,34,0
2840,1,13,-1
2841,0,14,-1
2842,1,44,12
2843,1,48,12
2844,1,67,1
2845,1,20,12
2846,1,28,2
2847,0,26,12
2848,1,29,0
2849,0,47,12
2850,1,63,9
2851,0,56,21
2852,1,18,-1
2853,1,62,0
2854,0,17,-1
2855,0,11,-1
2856,1,59,1
2857,1,26,2
2858,0,20,12
2859,0,82,21
2860,0,37,1
2861,1,52,8
2862,1,26,12
2863,1,44,1
2864,1,10,-1
2865,0,7,-1
2866,1,32,5
2867,0,5,-1
2868,0,35,14
2869,0,30,11
2870,0,14,-1
2871,0,65,20
2872,1,16,-1
2873,0,26,21
2874,0,33,21
2875,1,16,-1
2876,1,65,2
2877,0,64,14
2878,0,11,-1
2879,1,36,14
2880,0,57,14
2881,0,46,12
2882,0,74,21
2883,0,39,20
2884,1,59,20
2885,0,46,19
2886,0,9,-1
2887,1,49,15
2888,0,44,1
2889,1,34,14
2890,0,67,19
2891,1,33,2
2892,0,20,1
2893,0,37,8
2894,0,44,12
2895,0,68,9
2896,1,25,17
2897,1,16,-1
2898,0,19,16
2899,0,79,12
2900,1,97,0
2901,1,29,21
2902,0,4,-1
2903,1,37,12
2904,0,20,1
2905,1,39,12
2906,0,54,12
2907,1,47,2
2908,0,30,18
2909,0,44,20
2910,0,68,14
2911,0,66,14
2912,0,45,15
2913,1,33,14
2914,0,34,14
2915,1,30,12
2916,1,65,19
2917,1,12,-1
2918,0,36,15
2919,0,12,-1
2920,1,45,0
2921,1,44,14
2922,0,60,12
2923,0,4,-1
2924,0,30,1
2925,0,51,14
2926,1,8,-1
2927,1,37,15
2928,1,42,9
2929,0,16,-1
2930,0,21,14
2931,0,39,21
2932,1,51,14
2933,0,49,20
2934,1,55,21
2935,0,69,18
2936,1,62,15
2937,0,64,12
2938,1,57,15
2939,0,50,21
2940,0,44,14
2941,0,51,12
2942,0,51,12
2943,1,71,14
2944,1,16,-1
2945,0,19,21
2946,1,49,20
2947,0,23,16
2948,1,43,0
2949,1,71,15
2950,1,56,15
2951,1,30,12
2952,1,57,15
2953,1,71,21
2954,1,54,21
2955,1,14,-1
2956,1,27,14
2957,0,50,2
2958,1,11,-1
2959,1,82,20
2960,0,11,-1
2961,1,11,-1
2962,1,47,1
2963,1,43,1
2964,0,56,14
2965,0,40,18
2966,0,16,-1
2967,0,16,-1
2968,0,0,-1
2969,1,41,12
2970,0,17,-1
2971,0,37,2
2972,1,9,-1
2973,1,4,-1
2974,0,73,14
2975,0,55,5
2976,0,13,-1
2977,1,44,14
2978,0,19,1
2979,0,54,11
2980,0,27,21
2981,1,40,18
2982,0,57,16
2983,1,71,15
2984,1,36,14
2985,0,74,1
2986,1,37,0
2987,0,57,21
2988,1,27,1
2989,1,72,2
2990,1,34,14
2991,1,3,-1
2992,1,35,2
2993,0,3,-1
2994,0,21,16
2995,1,13,-1
2996,1,49,16
2997,1,46,14
2998,1,28,9
2999,0,13,-1
3000,0,30,1
3001,1,54,16
3002,1,0,-1
3003,1,27,12
3004,1,32,2
3005,0,2,-1
3006,0,14,-1
3007,1,27,21
3008,0,45,14
3009,1,45,0
3010,1,9,-1
3011,1,20,12
3012,1,22,2
3013,1,21,14
3014,1,13,-1
3015,1,15,-1
3016,1,53,14
3017,0,44,20
3018,0,16,-1
3019,0,48,0
3020,1,52,20
3021,0,33,14
3022,1,31,16
3023,0,48,12
3024,1,55,21
3025,1,17,-1
3026,0,26,12
3027,0,6,-1
3028,0,16,-1
3029,1,90,1
3030,0,24,12
3031,0,56,2
3032,0,45,1
3033,0,65,18
3034,0,10,-1
3035,0,25,18
3036,0,11,-1
3037,0,18,-1
3038,1,9,-1
3039,0,5,-1
3040,0,60,9
3041,0,33,12
3042,1,33,14
3043,1,51,0
3044,1,54,2
3045,0,46,20
3046,1,27,13
3047,1,20,12
3048,1,41,19
3049,1,61,1
3050,1,84,2
3051,0,68,9
3052,1,44,2
3053,0,24,15
3054,0,61,2
3055,1,22,20
3056,0,23,14
3057,0,46,17
3058,1,54,3
3059,0,36,15
3060,0,40,1
3061,1,11,-1
3062,0,15,-1
3063,0,7,-1
3064,1,73,1
3065,1,39,12
3066,0,39,14
3067,1,10,-1
3068,1,53,16
3069,1,32,2
3070,1,47,0
3071,0,68,14
3072,0,40,14
3073,1,11,-1
3074,0,26,18
3075,0,13,-1
3076,0,64,12
3077,1,40,1
3078,1,32,12
3079,0,77,2
3080,1,20,2
3081,0,50,12
3082,0,17,-1
3083,1,1,-1
3084,1,23,0
3085,1,20,21
3086,0,59,0
3087,1,3,-1
3088,1,52,20
3089,0,30,14
3090,1,91,14
3091,0,40,18
3092,0,31,0
3093,0,32,13
3094,1,30,18
3095,1,90,1
3096,0,49,1
3097,1,8,-1
3098,0,41,2
3099,0,25,21
3100,1,72,18
3101,0,11,-1
3102,0,8,-1
3103,1,47,12
3104,1,2,-1
3105,1,33,2
3106,1,33,14
3107,1,36,12
3108,1,28,14
3109,1,26,18
3110,1,30,14
3111,0,24,18
3112,1,38,12
3113,1,64,10
3114,1,0,-1
3115,0,40,1
3116,0,48,2
3117,0,25,9
3118,0,28,2
3119,1,8,-1
3120,1,33,14
3121,0,43,2
3122,0,50,1
3123,0,47,1
3124,0,26,14
3125,0,58,12
3126,0,21,14
3127,0,40,9
3128,1,72,12
3129,1,21,18
3130,1,36,15
3131,1,22,21
3132,1,22,14
3133,0,13,-1
3134,0,27,12
3135,1,26,12
3136,1,21,14
